title,author,description
"Naruto","Masashi Kishimoto","A young ninja seeks recognition from his peers and dreams of becoming the leader of his village."
"Attack on Titan","Hajime Isayama","In a world where humanity lives behind walls to protect itself from giant humanoid Titans, a young boy vows revenge."
"Death Note","Tsugumi Ohba, Takeshi Obata","A high school student discovers a notebook that allows him to kill anyone whose name he writes in it."
"Fullmetal Alchemist","Hiromu Arakawa","Two brothers use alchemy to search for the Philosopher's Stone to restore their bodies after a failed experiment."
"Dragon Ball","Akira Toriyama","The adventures of Goku from childhood to adulthood as he trains in martial arts and searches for the magical Dragon Balls."
"Bleach","Tite Kubo","A teenager with the ability to see ghosts gains the powers of a Soul Reaper and must protect humans from evil spirits."
"My Hero Academia","Kōhei Horikoshi","A boy born without superpowers in a superpowered world strives to become a hero by attending a prestigious academy."
"Demon Slayer: Kimetsu no Yaiba","Koyoharu Gotouge","A young boy becomes a demon slayer to avenge his family and cure his sister, who was turned into a demon."
"Tokyo Ghoul","Sui Ishida","A college student is transformed into a half-ghoul after an encounter with one and must navigate the dangerous life of eating human flesh."
"Hunter x Hunter","Yoshihiro Togashi","A young boy embarks on a journey to become a Hunter, an elite member of society, to find his absent father."
"Berserk","Kentaro Miura","A lone mercenary seeks revenge against his former friend who sacrificed their band to become a demonic god."
"One-Punch Man","ONE, Yusuke Murata","A superhero who can defeat any opponent with a single punch grows bored by the lack of challenge in his fight against evil."
"Fairy Tail","Hiro Mashima","A young celestial wizard joins the famous Fairy Tail guild and goes on magical adventures with her friends."
"Haikyu!!","Haruichi Furudate","A short-statured but determined high school student strives to become a great volleyball player."
"Black Clover","Yūki Tabata","In a world where everyone can use magic, a boy born without it strives to become the Wizard King through sheer determination."
"Jujutsu Kaisen","Gege Akutami","A high school student eats a cursed object and becomes the host of a powerful curse, joining a secret organization of Jujutsu Sorcerers."
"Chainsaw Man","Tatsuki Fujimoto","A poor young man becomes a devil hunter after merging with his pet devil, Pochita, gaining the ability to transform parts of his body into chainsaws."
"Spy x Family","Tatsuya Endo","A spy must build a fake family to complete his mission, unaware that his adopted daughter is a telepath and his wife is an assassin."
"Vinland Saga","Makoto Yukimura","A young Viking seeks revenge against the man who killed his father during a time of war and exploration."
"Kingdom","Yasuhisa Hara","A war orphan strives to become the greatest general under the heavens during China's Warring States period."
"The Promised Neverland","Kaiu Shirai, Posuka Demizu","Orphans discover the dark secret of their idyllic orphanage and plan a daring escape."
"Food Wars!: Shokugeki no Soma","Yuto Tsukuda, Shun Saeki","A young chef attends an elite culinary school where students engage in intense food competitions."
"Assassination Classroom","Yusei Matsui","Students are tasked with assassinating their alien teacher before he destroys the Earth, all while learning from him."
